Position;TimePoint;SeedX;SeedY;CentroidX;CentroidY;Area;Eccentricity;SumCh00;StdDevCh00
1;1;948;232;953.07;254.02;1186;0.721424;70.5961;0.00580893
1;1;934;175;932.875;189.122;795;0.875727;39.8039;0.00492035
1;1;702;347;713.016;368.403;1032;0.891153;47.4706;0.00746464
1;1;744;959;753.168;981.841;1273;0.65968;74.6157;0.00530797
1;1;726;403;730.803;419.09;1131;0.839104;56.3882;0.00535515
1;1;758;361;757.754;378.202;1035;0.743089;49.7412;0.00655236
1;1;725;944;713.16;966.451;774;0.985992;41.6275;0.00443778
1;1;742;877;740.159;899.756;1899;0.833112;117.055;0.00443203
1;1;668;971;667.105;983.506;678;0.840475;35.7882;0.00416709
1;1;679;1005;670.4;1016.54;500;0.903416;26.9451;0.00338467
1;1;724;543;718.138;567.807;1485;0.681634;90.5686;0.00439177
1;1;587;1010;601.48;1028.74;1400;0.863444;81.7922;0.00558386
1;1;677;909;684.181;927.628;1049;0.75276;56.6824;0.00482227
1;1;723;598;726.767;617.901;1472;0.759795;88.0588;0.00506458
1;1;595;843;595.539;864.156;1144;0.775126;67.6784;0.00591867
1;1;558;843;560.279;856.347;648;0.769356;33.3647;0.00441783
1;1;602;960;619.283;986.998;1326;0.882725;81.298;0.00535818
1;1;583;950;574.335;977.191;1069;0.961662;56.9608;0.00577124
1;1;692;468;694.262;483.676;580;0.760384;27.9765;0.00576618
1;1;668;474;661.982;485.908;512;0.708341;26.702;0.00492292
1;1;572;136;561.307;161.458;1392;0.92768;78.3255;0.00471407
1;1;666;508;681.173;527.296;1252;0.836673;75.7843;0.00330353
1;1;479;273;491.339;288.968;1264;0.822295;73.098;0.00407085
1;1;505;210;508.849;234.391;1152;0.86849;61.9373;0.00431752
1;1;658;444;659.476;456.682;848;0.971202;49.5373;0.00398556
1;1;630;397;638.007;417.389;1238;0.849599;73.4549;0.00408471
1;1;391;402;380.929;423.62;1269;0.589581;71.3216;0.00416358
1;1;377;334;357.82;359.27;1125;0.967321;62.9137;0.00522151
1;1;533;85;535.156;108.663;1367;0.883888;79.1333;0.0055401
1;1;471;436;492.138;457.78;1417;0.980495;81.102;0.00435896
1;1;328;124;348.095;152.575;1169;0.942454;66.1922;0.00498305
1;1;282;91;278.329;105.743;882;0.919728;48.5961;0.00397639
1;1;386;178;395.266;198.281;1152;0.851741;64.8902;0.00532796
